Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
2,Jan Blomseth,900.5,647.0,39.0,1586.5,1.0,3602.0
1,Anni Beate Skogman,900.5,562.0,59.0,1521.5,2.0,3602.0
3,Kristoffer Kanestrøm,900.5,415.0,66.0,1381.5,3.0,3602.0
4,Britt Hege Alvarstein,900.5,277.0,18.0,1195.5,4.0,3602.0
6,Tor Egil Sandnes,900.5,202.0,10.0,1112.5,5.0,3602.0
5,Bjørn-Gunnar Jørgensen,900.5,171.0,17.0,1088.5,6.0,3602.0
15,Kari Workinn,0.0,89.0,3.0,92.0,7.0,3602.0
9,Christina Therese Skarheim,0.0,67.0,9.0,76.0,8.0,3602.0
7,Ole Magnar Johansen,0.0,56.0,4.0,60.0,9.0,3602.0
18,Arnulf Kristian Kaspersen,0.0,45.0,2.0,47.0,10.0,3602.0
14,Marie Helene Myreng Nilsen,0.0,29.0,6.0,35.0,11.0,3602.0
16,Jens Petter Kraknes,0.0,32.0,1.0,33.0,12.0,3602.0
11,Liv Karin Kronstad,0.0,29.0,2.0,31.0,13.0,3602.0
12,Tor Dagfinn Johansen,0.0,29.0,1.0,30.0,14.0,3602.0
13,Daniel Eriksen,0.0,23.0,3.0,26.0,15.0,3602.0
40,Jens Arne Hafeld,0.0,26.0,0.0,26.0,16.0,3602.0
10,Kjellaug Synnøve Thomassen,0.0,25.0,0.0,25.0,17.0,3602.0
20,Per Tore Uteng,0.0,24.0,0.0,24.0,18.0,3602.0
17,Maria Iren Hafeld,0.0,23.0,0.0,23.0,19.0,3602.0
8,Lars Sigurd Eide,0.0,19.0,2.0,21.0,20.0,3602.0
29,Eva Anshus Bårdsen,0.0,18.0,3.0,21.0,21.0,3602.0
23,Klaus Albrigtsen,0.0,19.0,0.0,19.0,22.0,3602.0
41,Christer Bjørn,0.0,14.0,2.0,16.0,23.0,3602.0
19,Unni Johanne Daljord,0.0,15.0,0.0,15.0,24.0,3602.0
22,Geir Magnar Evanger,0.0,13.0,0.0,13.0,25.0,3602.0
21,Jarle Kristian Mathiassen,0.0,11.0,0.0,11.0,26.0,3602.0
26,Vidar Andersen,0.0,11.0,0.0,11.0,27.0,3602.0
35,Margrethe Louise Efraimsen,0.0,9.0,1.0,10.0,28.0,3602.0
38,Kenneth Keiseraas,0.0,10.0,0.0,10.0,29.0,3602.0
25,Marianne Kristiansen,0.0,9.0,0.0,9.0,30.0,3602.0
28,Sondre Klemetsen,0.0,9.0,0.0,9.0,31.0,3602.0
30,Bjørn Sigurd Brekmo,0.0,9.0,0.0,9.0,32.0,3602.0
31,Ranveig Daljord,0.0,9.0,0.0,9.0,33.0,3602.0
37,Hugo Mortensen,0.0,9.0,0.0,9.0,34.0,3602.0
27,Norvald Iversen,0.0,8.0,0.0,8.0,35.0,3602.0
34,Jan Møller,0.0,8.0,0.0,8.0,36.0,3602.0
32,Tor Everth Aspvik,0.0,6.0,0.0,6.0,37.0,3602.0
24,Svein Øistein Ingebrigtsen,0.0,5.0,0.0,5.0,38.0,3602.0
36,Aleksander Johansen,0.0,5.0,0.0,5.0,39.0,3602.0
33,Erling Kristian Johannessen,0.0,4.0,0.0,4.0,40.0,3602.0
39,John Hermann Jørgensen,0.0,4.0,0.0,4.0,41.0,3602.0
