Nr.:,Representantens navn:,Stemmetillegg:,Personstemmer:,Slenger:,Totalt antall stemmetillegg og personstemmer:,Ny rangering:,Stemmesedler
1,Jonas Stein,"411,00","387,00","125,00","923,00",1,1644
4,Morten Skandfer,"411,00","172,00","42,00","625,00",2,1644
2,Irene Vanja Dahl,"411,00","160,00","22,00","593,00",3,1644
3,Kine Bergheim,"411,00","128,00","23,00","562,00",4,1644
11,Arne Wilhelm Theodorsen,"0,00","63,00","32,00","95,00",5,1644
6,Marie Fangel,"0,00","73,00","21,00","94,00",6,1644
8,Nils Arne Johnsen,"0,00","49,00","9,00","58,00",7,1644
10,Anne-Grete Annsdatter Skavhaug,"0,00","33,00","13,00","46,00",8,1644
12,Åsmund Grammeltvedt,"0,00","34,00","9,00","43,00",9,1644
7,Seynab Mikalsen,"0,00","38,00","2,00","40,00",10,1644
9,Håvard Sørlie,"0,00","31,00","9,00","40,00",11,1644
16,Bjørn Kaldhol,"0,00","36,00","2,00","38,00",12,1644
27,Thomas Engelskjøn,"0,00","21,00","11,00","32,00",13,1644
49,Johan Petter Barlindhaug,"0,00","29,00","3,00","32,00",14,1644
5,Erik Magnus Iversen,"0,00","29,00","1,00","30,00",15,1644
28,Martine Guttormsen,"0,00","26,00","1,00","27,00",16,1644
20,Øyvind Ravna,"0,00","21,00","3,00","24,00",17,1644
14,Øystein Nilsen,"0,00","19,00","3,00","22,00",18,1644
17,Adeline Broust Tiede,"0,00","21,00","1,00","22,00",19,1644
15,Linda Maria Stein,"0,00","19,00","1,00","20,00",20,1644
26,Bodil Carlson,"0,00","20,00","0,00","20,00",21,1644
13,Mbachi Ruth Msomphora,"0,00","18,00","1,00","19,00",22,1644
32,Elin Helbekkmo Sandvik,"0,00","18,00","1,00","19,00",23,1644
23,Eigil Thorsen,"0,00","16,00","2,00","18,00",24,1644
46,Maria Kristine Granhøy-Markussen,"0,00","13,00","5,00","18,00",25,1644
18,Else Marie Øvrebø,"0,00","15,00","2,00","17,00",26,1644
24,Jørn Weines,"0,00","11,00","6,00","17,00",27,1644
45,Bitten Barman-Jenssen,"0,00","13,00","3,00","16,00",28,1644
47,Aud Jektvik,"0,00","13,00","3,00","16,00",29,1644
37,Eirin Bjørnstad,"0,00","12,00","3,00","15,00",30,1644
19,Jørn Dagfinn Bjørnhaug,"0,00","14,00","0,00","14,00",31,1644
31,Jonas Hansen,"0,00","14,00","0,00","14,00",32,1644
33,Astrid Charlotte Engli Høgestøl,"0,00","13,00","1,00","14,00",33,1644
44,Kenneth Ruud,"0,00","12,00","2,00","14,00",34,1644
22,Ingunn Mosand-Gjerde,"0,00","12,00","1,00","13,00",35,1644
39,Ketil Sundelin,"0,00","12,00","1,00","13,00",36,1644
25,Thorbjørg Hroarsdottir,"0,00","9,00","2,00","11,00",37,1644
48,Markus Martin Sørensen,"0,00","9,00","2,00","11,00",38,1644
41,Arne Erling Karlsen,"0,00","10,00","0,00","10,00",39,1644
29,Bernhard Siebert,"0,00","9,00","0,00","9,00",40,1644
42,Bjørn Einan,"0,00","6,00","3,00","9,00",41,1644
34,Sindre Palmberg,"0,00","8,00","0,00","8,00",42,1644
35,John-Egil Svinsås Johansen Magga,"0,00","8,00","0,00","8,00",43,1644
30,Jan Tore Olsborg,"0,00","5,00","2,00","7,00",44,1644
38,Roger Lockertsen,"0,00","6,00","1,00","7,00",45,1644
40,Alf-Inge Elvegård Selstad,"0,00","7,00","0,00","7,00",46,1644
21,Paul Norvall Pedersen,"0,00","5,00","1,00","6,00",47,1644
43,Hege Berit Sirkka,"0,00","6,00","0,00","6,00",48,1644
36,Berit Martha Kirkpatrick,"0,00","5,00","0,00","5,00",49,1644
